Wall time,Step,Value
1701552217.4590924,3727,3.79209495804389e-06
1701552217.9140913,3745,2.6853240342461504e-06
1701552217.9610913,3747,4.074489424965577e-06
1701552218.155093,3755,4.922990228806157e-06
1701552218.829091,3783,1.1030122550437227e-05
1701552219.1620939,3797,5.216270892560715e-06
1701552220.5090954,3853,8.714810974197462e-05
1701552220.6051028,3857,3.256079799029976e-05
1701552220.868091,3868,1.392209560435731e-05
1701552222.119091,3920,7.491356882383116e-06
1701552222.6200907,3941,2.655016942298971e-05
1701552222.765093,3946,1.0915333405137062e-05
1701552222.8110912,3948,2.0108560420339927e-05
1701552223.0550926,3958,1.5135487956285942e-05
1701552223.8390913,3991,1.1152982551720925e-05
1701552224.1240916,4003,1.826775405788794e-05
1701552225.3990948,4055,1.1451728823885787e-05
1701552226.075093,4083,1.7339865735266358e-05
1701552226.7740922,4111,4.846718184126075e-06
1701552227.676091,4149,3.304033089079894e-05
1701552227.9280913,4160,1.6868132661329582e-05
1701552228.0101042,4163,5.927557867835276e-05
1701552229.343109,4220,6.531953204103047e-06
1701552229.4640968,4225,9.168091310129967e-06
1701552229.7170913,4236,1.0214545909548178e-05
1701552231.4281087,4309,3.312714397907257e-06
1701552231.7040913,4321,2.9863313102396205e-06
1701552231.7530947,4323,6.090842816774966e-06
1701552231.8774369,4328,3.393703082110733e-06
1701552231.9034357,4329,3.127202262476203e-06
1701552232.4914365,4354,6.292490525083849e-06
1701552232.6064386,4359,2.265222292407998e-06
1701552232.676437,4362,7.892435860412661e-06
1701552233.3294368,4390,9.526680514682084e-06
1701552233.4004369,4393,2.1037558326497674e-05
1701552234.2854388,4431,1.3779215805698186e-05
1701552234.5924394,4444,2.4012260837480426e-05
1701552234.639437,4446,1.6890731785679236e-05
1701552235.8034356,4496,1.1804080713773146e-05
1701552236.388436,4520,2.7105077151645673e-06
1701552236.5524366,4527,4.8483398131793365e-06
1701552237.3684382,4560,4.9420682444178965e-06
1701552238.7694376,4619,1.0915428902080748e-05
1701552239.174436,4636,3.876987648254726e-06
1701552239.6634355,4657,1.3071053217572626e-06
1701552240.8304367,4705,3.987831860285951e-06
1701552240.8974361,4708,3.1402689728565747e-06
1701552242.013436,4755,1.2352808198556886e-06
1701552242.8944435,4791,9.670632152847247e-07
1701552242.9864361,4795,1.2142729701736243e-06
1701552243.205436,4803,1.3996500456414651e-06
1701552244.0804377,4840,6.8375129558262415e-06
1701552244.2054415,4845,1.4607392131438246e-06
1701552244.9664426,4877,1.0854411129912478e-06
1701552245.1554356,4885,2.0732418306579348e-06
1701552245.8854373,4915,5.801866791443899e-06
1701552246.169436,4927,1.8150810774386628e-06
1701552246.2194366,4929,1.072236841537233e-06
1701552247.1542032,4967,3.2725833420954586e-07
1701552247.4467278,4979,3.0134012263260956e-07
1701552248.51573,5021,6.704623842779256e-07
1701552250.100728,5089,3.977640062657883e-06
1701552250.316726,5098,7.603881385875866e-05
1701552250.3927271,5101,1.1058067684643902e-05
1701552252.1937263,5177,8.865786367096007e-05
1701552252.2537277,5179,4.2795665649464354e-05
1701552252.278728,5180,9.744577982928604e-05
1701552253.5457268,5233,3.4472683182684705e-05
1701552254.2067282,5261,9.11480401555309e-06
1701552255.8247266,5327,3.680967893160414e-06
1701552256.7607257,5366,2.3141037672758102e-06
1701552258.9637284,5456,5.95543838244339e-07
1701552259.3507297,5472,4.865507321483165e-07
1701552259.6927283,5486,1.91402847349309e-07
1701552261.1927269,5547,7.270865012287686e-07
1701552261.7327268,5569,5.361731041375606e-07
1701552263.4907253,5642,3.234090399928391e-06
1701552263.5337267,5644,2.1622522581310477e-06
1701552264.315726,5676,1.4819285070188926e-06
1701552264.9137292,5700,3.20473395731824e-06
1701552265.2577293,5714,9.265010703529697e-06
1701552266.296728,5757,5.713467544410378e-06
1701552267.0317276,5787,5.504970431502443e-06
1701552267.135726,5791,4.8221727411146276e-06
1701552267.4937258,5806,2.587399649200961e-06
1701552268.4767342,5847,2.920195811384474e-06
1701552268.5497258,5850,3.7219667774479603e-06
1701552269.8147259,5903,2.622179408717784e-06
1701552270.5817304,5935,2.5175486371153966e-06
1701552270.9727263,5952,2.2707531570631545e-06
1701552271.0407307,5955,1.870651885838015e-06
1701552271.8617332,5989,2.3066118046699557e-06
1701552271.9077284,5991,5.156850420462433e-06
1701552272.075726,5998,5.900487849430647e-06
1701552272.9367285,6034,6.149462478788337e-06
1701552273.434728,6055,1.845914448495023e-05
1701552274.0017297,6079,1.604355566087179e-05
1701552274.1177275,6084,1.2327254808042198e-05
1701552274.261727,6090,1.5354438801296055e-05
1701552274.9137285,6117,9.891231457004324e-06
1701552275.38974,6137,5.548667559196474e-06
1701552275.5017278,6142,1.2678630810114555e-05
1701552275.860733,6157,6.470324478868861e-06
1701552275.9747355,6162,8.255157808889635e-06
1701552276.996726,6205,2.4991142709041014e-05
1701552277.625728,6232,4.0762912249192595e-05
1701552277.9967258,6248,8.566797987441532e-06
1701552278.2317352,6258,1.4982001630414743e-05
1701552279.4177263,6308,2.8493743229773827e-05
1701552279.8887267,6327,1.4911681319063064e-05
1701552280.204725,6340,2.099315133818891e-05
1701552280.3542783,6346,1.9549384887795895e-05
1701552280.686279,6359,9.239794962923042e-06
1701552282.075278,6416,1.9211194739909843e-05
1701552282.635278,6439,2.2061451090849005e-05
1701552282.7562914,6444,2.2647120204055682e-05
1701552283.3662784,6468,1.572882138134446e-05
1701552283.6262777,6479,1.3050300367467571e-05
1701552283.889281,6490,1.4491764886770397e-05
1701552284.2112775,6503,1.6405427231802605e-05
1701552284.7792778,6527,1.9975163013441488e-05
1701552287.176284,6623,1.4581188224838115e-05
1701552287.2752867,6627,1.259724740521051e-05
1701552287.7552774,6647,7.458641448465642e-06
1701552289.0582778,6701,1.2367578165140003e-05
1701552289.3022792,6711,1.716247970762197e-05
1701552289.7462835,6730,1.9302742657600902e-05
1701552291.0362782,6784,1.1470890967757441e-05
1701552291.2652786,6793,1.7621849110582843e-05
1701552291.542281,6805,9.42279257287737e-06
1701552291.6172802,6808,1.9501334463711828e-05
1701552291.9592786,6823,1.4749350157217123e-05
1701552292.0272784,6826,1.5839197658351623e-05
1701552292.3072793,6838,1.7884407498058863e-05
1701552292.9712787,6865,9.10069684323389e-06
1701552293.07428,6869,9.60095439950237e-06
1701552293.3402777,6880,1.530639929114841e-05
1701552295.360289,6959,8.585560863139108e-06
1701552295.6902862,6973,2.095877061947249e-05
1701552295.8782775,6981,1.904587770695798e-05
1701552296.2452793,6996,1.3720629794988781e-05
1701552297.7892783,7061,5.689422323484905e-06
1701552298.552288,7093,1.4206740161171183e-05
1701552299.1592777,7119,7.300923243747093e-06
1701552299.6682775,7141,5.470322321343701e-06
1701552301.8512812,7233,3.7987306313880254e-06
1701552302.0422812,7241,5.178032097319374e-06
1701552302.616278,7264,4.964424988429528e-06
1701552303.090278,7282,6.01366537011927e-06
1701552304.5952778,7343,5.193605829845183e-06
1701552305.3282838,7374,4.4179560063639656e-06
1701552306.5942776,7427,3.220896815037122e-06
1701552306.8572829,7438,5.2256768867664505e-06
1701552307.284286,7456,2.9969005481689237e-06
1701552307.5182834,7466,2.6261404855176806e-06
1701552307.5442774,7467,2.8733113595080795e-06
1701552307.9962773,7486,3.3685721518850187e-06
1701552308.5412796,7509,4.925796929455828e-06
1701552308.9842827,7528,3.3754913602024317e-06
1701552309.9192781,7567,4.988683485862566e-06
1701552309.9932787,7570,6.603759175050072e-06
1701552310.1592782,7577,5.463261913973838e-06
1701552310.4042773,7587,4.6312798076542094e-06
1701552310.4732792,7590,2.4242781364591792e-06
1701552310.8192782,7605,1.3389654668571893e-05
1701552311.5912826,7638,6.906610451551387e-06
1701552312.0442774,7657,3.123932856397005e-06
1701552313.9802773,7736,3.4300896913919132e-06
1701552314.8102865,7771,3.880746589857154e-06
1701552315.2202802,7788,3.6137516872258857e-06
1701552315.5742776,7803,6.003155249345582e-06
1701552315.8312874,7814,2.1152745830477215e-06
1701552315.968278,7820,3.9686756281298585e-06
1701552316.5812776,7845,2.760116331046447e-06
1701552316.838281,7855,3.615158448155853e-06
1701552317.292278,7873,2.9316577183635673e-06
1701552317.623278,7887,2.3554355266242055e-06
1701552318.0872774,7907,3.6332687614049064e-06
1701552318.2722838,7915,8.192158020392526e-06
1701552318.519278,7925,6.714624760206789e-06
1701552319.352282,7960,0.00010503992234589532
1701552319.4842775,7965,2.4103542273223866e-06
1701552320.9192777,8026,4.322532731748652e-06
1701552320.942291,8027,3.6515380088530947e-06
1701552321.6982775,8059,4.961562808603048e-06
1701552322.9242797,8110,3.3556007110746577e-06
1701552323.117279,8118,4.992072717868723e-06
1701552323.9482775,8153,2.97651490654971e-06
1701552324.2092776,8164,2.8320796445768792e-06
1701552324.4832778,8176,3.5717885111807846e-06
1701552324.9212792,8193,7.093000931490678e-06
1701552327.7102787,8307,1.3903336366638541e-06
1701552327.8022773,8311,1.2940313354192767e-06
1701552328.140295,8325,9.863890682026977e-07
1701552328.553278,8342,1.5757857454445912e-06
1701552328.6942785,8348,2.3874158614489716e-06
1701552329.703278,8390,2.7007711196347373e-06
1701552330.0892825,8406,2.9895113584643696e-06
1701552330.352277,8417,2.7784162739408202e-06
1701552331.2202785,8454,4.541068392427405e-06
1701552331.3382776,8459,4.005962182418443e-06
1701552331.3852782,8461,2.9493708098016214e-06
1701552331.5282805,8467,2.5406404802197358e-06
1701552332.076281,8490,4.702845217252616e-06
1701552332.1922803,8495,8.104817425191868e-06
1701552332.419278,8504,3.02313810607302e-06
1701552334.5942779,8594,7.132996415748494e-06
1701552334.6642783,8597,2.998979880430852e-06
1701552335.36628,8625,4.764301593240816e-06
1701552335.4792774,8630,4.1624930418038275e-06
1701552335.6002965,8635,7.475130132661434e-06
1701552336.9852772,8693,7.420742349495413e-06
1701552337.59628,8719,2.509028036001837e-06
1701552337.8052773,8728,1.6812700778245926e-06
1701552338.587279,8761,2.61327681982948e-06
1701552338.6102784,8762,3.0043502192711458e-06
1701552338.8152773,8771,2.594051011328702e-06
1701552339.692278,8809,1.7408226540283067e-06
1701552339.8772793,8817,4.024815098091494e-06
1701552339.9972787,8822,4.195153451291844e-06
1701552341.8232775,8901,3.02101943816524e-06
1701552342.460278,8928,1.8422510038362816e-05
1701552342.8832777,8946,7.438560260197846e-06
1701552342.9552815,8949,5.942762982158456e-06
1701552343.4522774,8970,3.082149305555504e-06
1701552343.7122786,8981,5.176036211196333e-06
1701552344.2722776,9005,4.769323822984006e-06
1701552344.4342785,9012,3.4023530588456197e-06
1701552344.8282878,9029,1.0125017070095055e-05
1701552344.8792846,9031,1.4845677469565999e-05
1701552344.9492776,9034,1.3053064321866259e-05
1701552345.453278,9055,1.9276782040833496e-05
1701552345.6282804,9062,8.142891601892188e-06
1701552346.1972787,9085,9.859875717666e-06
1701552346.608277,9102,3.3821237593656406e-05
1701552347.0392845,9120,2.198221773141995e-05
1701552347.1842802,9126,4.35605070379097e-05
1701552347.428277,9136,4.88197838421911e-05
1701552347.887277,9155,2.971251160488464e-05
1701552348.543278,9182,3.661146911326796e-05
1701552348.7422855,9190,1.671799509495031e-05
1701552349.247279,9211,2.4468068659189157e-05
1701552350.9182878,9282,5.8580080803949386e-05
1701552352.615284,9353,3.663573806989007e-05
1701552352.7712896,9360,1.9693807189469226e-05
1701552353.4042776,9387,2.9208151318016462e-05
1701552353.9002793,9408,1.1630458175204694e-05
1701552354.5182774,9434,1.3145545381121337e-05
1701552354.7322874,9443,1.0988967915182002e-05
1701552355.5012774,9475,8.808995517028961e-06
1701552355.9882774,9496,1.0052433935925364e-05
1701552357.008277,9539,3.133739255645196e-06
1701552357.0772836,9542,4.952282324666157e-06
1701552357.5552785,9562,4.637795427697711e-06
1701552357.7242782,9569,3.868603471346432e-06
1701552358.3412788,9595,3.849212589557283e-06
1701552359.9612792,9665,3.230010634069913e-06
1701552360.184278,9674,2.951686838059686e-06
1701552360.34628,9681,1.837786157921073e-06
1701552360.6502776,9694,9.61891373663093e-07
1701552361.1662774,9716,6.9039610934851225e-06
1701552361.4282777,9727,1.704403075564187e-06
1701552362.0572777,9754,2.1515998014365323e-06
1701552362.6142797,9778,1.3924649238106213e-06
1701552362.7542772,9784,3.206071369277197e-06
1701552363.2842786,9807,1.8040184386336477e-06
1701552363.7162776,9825,1.4074196315050358e-06
1701552365.3302815,9895,1.5056087931952788e-06
1701552366.3472795,9939,2.4655366814840818e-06
1701552367.0012774,9967,2.0979330201953417e-06
1701552367.072278,9970,1.3961525837657973e-06
1701552367.9992907,10010,1.384750703437021e-06
1701552368.5582836,10034,3.191039240846294e-06
1701552370.0552776,10099,2.0173170014459174e-06
1701552371.8512826,10177,1.105501951315091e-06
1701552371.96528,10182,2.0049005797773134e-06
1701552372.0332778,10185,1.935952923304285e-06
1701552372.3562803,10199,1.1995955446764128e-06
1701552372.6382787,10211,1.2286965329622035e-06
1701552373.1702783,10234,1.3623995300804381e-06
1701552373.3062773,10240,2.5317888230347307e-06
1701552373.6522887,10255,3.692291102197487e-06
1701552374.018282,10271,1.6251384522547596e-06
1701552374.5762794,10295,4.533271749096457e-06
1701552374.9672797,10312,2.5388731046405155e-06
1701552376.356278,10372,4.72559850095422e-06
1701552376.6042786,10383,1.6769977264630143e-06
1701552377.069289,10403,2.3160871478467016e-06
1701552377.2302847,10410,2.031423491644091e-06
1701552377.3472886,10415,2.856680566765135e-06
1701552379.8522778,10523,5.368270308281353e-07
1701552379.9192796,10526,7.835935775801772e-07
1701552380.4052854,10547,8.833112588035874e-07
1701552380.5222867,10552,8.548952905584883e-07
